CMDLINE python countless3d.py
MEM 366.949219 1517462553.7981
MEM 375.179688 1517462553.8984
MEM 375.179688 1517462553.9988
MEM 362.949219 1517462554.0992
MEM 375.179688 1517462554.1996
MEM 375.179688 1517462554.3000
MEM 359.144531 1517462554.4004
MEM 375.179688 1517462554.5008
MEM 375.179688 1517462554.6011
MEM 354.914062 1517462554.7015
MEM 375.179688 1517462554.8018
MEM 375.179688 1517462554.9022
MEM 375.179688 1517462555.0026
MEM 375.179688 1517462555.1029
MEM 362.949219 1517462555.2033
MEM 375.179688 1517462555.3037
MEM 375.179688 1517462555.4041
MEM 359.144531 1517462555.5044
MEM 375.179688 1517462555.6048
MEM 375.179688 1517462555.7052
MEM 356.914062 1517462555.8056
MEM 375.179688 1517462555.9059
MEM 375.179688 1517462556.0063
MEM 375.179688 1517462556.1067
MEM 375.179688 1517462556.2071
MEM 362.949219 1517462556.3074
MEM 375.179688 1517462556.4078
MEM 375.179688 1517462556.5082
MEM 359.144531 1517462556.6092
MEM 375.179688 1517462556.7096
MEM 375.179688 1517462556.8100
MEM 346.914062 1517462556.9104
MEM 375.179688 1517462557.0108
MEM 370.949219 1517462557.1111
MEM 375.179688 1517462557.2115
MEM 375.179688 1517462557.3119
MEM 362.949219 1517462557.4123
MEM 375.179688 1517462557.5127
MEM 375.179688 1517462557.6130
MEM 359.144531 1517462557.7134
MEM 375.179688 1517462557.8138
MEM 375.179688 1517462557.9141
MEM 375.179688 1517462558.0145
MEM 375.179688 1517462558.1149
MEM 359.144531 1517462558.2153
MEM 375.179688 1517462558.3156
MEM 375.179688 1517462558.4160
MEM 359.144531 1517462558.5165
MEM 375.179688 1517462558.6169
MEM 359.144531 1517462558.7173
MEM 391.214844 1517462558.8177
MEM 390.949219 1517462558.9180
MEM 376.691406 1517462559.0184
MEM 375.144531 1517462559.1188
MEM 391.179688 1517462559.2192
MEM 391.179688 1517462559.3195
MEM 391.179688 1517462559.4199
MEM 391.179688 1517462559.5203
MEM 386.949219 1517462559.6207
MEM 375.144531 1517462559.7210
MEM 375.144531 1517462559.8214
MEM 391.179688 1517462559.9218
MEM 391.179688 1517462560.0222
MEM 391.179688 1517462560.1225
MEM 391.179688 1517462560.2229
MEM 386.949219 1517462560.3233
MEM 375.144531 1517462560.4236
MEM 370.914062 1517462560.5240
MEM 391.179688 1517462560.6244
MEM 391.179688 1517462560.7247
MEM 391.179688 1517462560.8251
MEM 391.179688 1517462560.9255
MEM 376.433594 1517462561.0258
MEM 375.144531 1517462561.1262
MEM 391.179688 1517462561.2266
MEM 391.179688 1517462561.3270
MEM 391.179688 1517462561.4274
MEM 391.179688 1517462561.5278
MEM 375.144531 1517462561.6281
MEM 368.914062 1517462561.7285
MEM 391.179688 1517462561.8289
MEM 391.179688 1517462561.9293
MEM 391.179688 1517462562.0297
MEM 406.949219 1517462562.1300
MEM 407.179688 1517462562.2304
MEM 388.914062 1517462562.3308
MEM 391.144531 1517462562.4312
MEM 406.949219 1517462562.5316
MEM 407.179688 1517462562.6319
MEM 375.371094 1517462562.7323
MEM 258.136719 1517462562.8327
MEM 338.984375 1517462562.9331
MEM 375.027344 1517462563.0335
MEM 344.398438 1517462563.1338
MEM 375.179688 1517462563.2342
MEM 374.949219 1517462563.3345
MEM 375.179688 1517462563.4349
MEM 375.179688 1517462563.5353
MEM 364.949219 1517462563.6357
MEM 375.179688 1517462563.7361
MEM 375.179688 1517462563.8364
MEM 359.144531 1517462563.9368
MEM 375.179688 1517462564.0372
MEM 375.179688 1517462564.1376
MEM 358.914062 1517462564.2379
MEM 375.179688 1517462564.3383
MEM 375.179688 1517462564.4387
MEM 375.179688 1517462564.5391
MEM 375.179688 1517462564.6395
MEM 360.175781 1517462564.7398
MEM 375.179688 1517462564.8402
MEM 375.179688 1517462564.9406
MEM 359.144531 1517462565.0409
MEM 375.179688 1517462565.1413
MEM 375.179688 1517462565.2417
MEM 375.179688 1517462565.3420
MEM 375.179688 1517462565.4424
MEM 370.949219 1517462565.5428
MEM 375.179688 1517462565.6432
MEM 375.179688 1517462565.7436
MEM 359.144531 1517462565.8439
MEM 375.179688 1517462565.9443
MEM 375.179688 1517462566.0447
MEM 348.914062 1517462566.1450
MEM 375.179688 1517462566.2454
MEM 370.949219 1517462566.3458
MEM 375.179688 1517462566.4462
MEM 375.179688 1517462566.5466
MEM 359.144531 1517462566.6470
MEM 375.179688 1517462566.7473
MEM 375.179688 1517462566.8477
MEM 358.914062 1517462566.9481
MEM 375.179688 1517462567.0484
MEM 375.179688 1517462567.1488
MEM 356.914062 1517462567.2492
MEM 375.179688 1517462567.3495
MEM 374.949219 1517462567.4499
MEM 375.179688 1517462567.5503
MEM 375.179688 1517462567.6507
MEM 359.144531 1517462567.7511
MEM 375.179688 1517462567.8515
MEM 375.179688 1517462567.9518
MEM 343.371094 1517462568.0522
MEM 375.179688 1517462568.1526
MEM 366.949219 1517462568.2530
MEM 375.179688 1517462568.3533
MEM 359.144531 1517462568.4537
MEM 391.214844 1517462568.5541
MEM 391.179688 1517462568.6545
MEM 391.179688 1517462568.7548
MEM 380.949219 1517462568.8553
MEM 375.144531 1517462568.9557
MEM 391.179688 1517462569.0561
MEM 391.179688 1517462569.1564
MEM 391.179688 1517462569.2568
MEM 391.179688 1517462569.3572
MEM 390.949219 1517462569.4575
MEM 375.144531 1517462569.5579
MEM 375.144531 1517462569.6584
MEM 391.179688 1517462569.7587
MEM 391.179688 1517462569.8591
MEM 391.179688 1517462569.9595
MEM 391.179688 1517462570.0599
MEM 378.949219 1517462570.1602
MEM 375.144531 1517462570.2606
MEM 362.914062 1517462570.3610
MEM 391.179688 1517462570.4614
MEM 391.179688 1517462570.5618
MEM 391.179688 1517462570.6622
MEM 386.949219 1517462570.7625
MEM 375.144531 1517462570.8629
MEM 359.371094 1517462570.9633
MEM 391.179688 1517462571.0636
MEM 391.179688 1517462571.1640
MEM 391.179688 1517462571.2644
MEM 382.949219 1517462571.3647
MEM 375.144531 1517462571.4651
MEM 359.371094 1517462571.5655
MEM 391.179688 1517462571.6659
MEM 391.179688 1517462571.7663
MEM 407.179688 1517462571.8668
MEM 407.179688 1517462571.9671
MEM 391.144531 1517462572.0675
MEM 394.949219 1517462572.1679
MEM 407.179688 1517462572.2683
MEM 407.179688 1517462572.3687
MEM 375.371094 1517462572.4691
MEM 218.136719 1517462572.5695
MEM 332.796875 1517462572.6699
MEM 375.097656 1517462572.7703
MEM 375.097656 1517462572.8706
MEM 375.179688 1517462572.9710
MEM 368.949219 1517462573.0714
MEM 375.179688 1517462573.1718
MEM 375.179688 1517462573.2722
MEM 359.144531 1517462573.3725
MEM 375.179688 1517462573.4729
MEM 375.179688 1517462573.5733
MEM 359.144531 1517462573.6737
MEM 375.179688 1517462573.7741
MEM 375.179688 1517462573.8745
MEM 344.656250 1517462573.9749
MEM 375.179688 1517462574.0753
MEM 368.949219 1517462574.1757
MEM 375.179688 1517462574.2761
MEM 375.179688 1517462574.3764
MEM 359.144531 1517462574.4768
MEM 375.179688 1517462574.5772
MEM 375.179688 1517462574.6776
MEM 346.914062 1517462574.7779
MEM 375.179688 1517462574.8783
MEM 368.949219 1517462574.9787
MEM 375.179688 1517462575.0791
MEM 375.179688 1517462575.1795
MEM 359.917969 1517462575.2799
MEM 375.179688 1517462575.3802
MEM 375.179688 1517462575.4806
MEM 359.144531 1517462575.5810
MEM 375.179688 1517462575.6813
MEM 375.179688 1517462575.7817
MEM 375.179688 1517462575.8821
MEM 375.179688 1517462575.9825
MEM 360.691406 1517462576.0829
MEM 375.179688 1517462576.1833
MEM 375.179688 1517462576.2836
MEM 359.144531 1517462576.3840
MEM 375.179688 1517462576.4844
MEM 375.179688 1517462576.5848
MEM 375.179688 1517462576.6852
MEM 375.179688 1517462576.7855
MEM 370.949219 1517462576.8859
MEM 375.179688 1517462576.9864
MEM 375.179688 1517462577.0868
MEM 359.144531 1517462577.1871
MEM 375.179688 1517462577.2875
MEM 375.179688 1517462577.3879
MEM 375.179688 1517462577.4883
MEM 375.179688 1517462577.5886
MEM 362.949219 1517462577.6890
MEM 375.179688 1517462577.7894
MEM 375.179688 1517462577.8898
MEM 359.144531 1517462577.9902
MEM 375.179688 1517462578.0906
MEM 359.144531 1517462578.1909
MEM 391.214844 1517462578.2913
MEM 388.949219 1517462578.3917
MEM 375.144531 1517462578.4921
MEM 375.144531 1517462578.5925
MEM 391.179688 1517462578.6929
MEM 391.179688 1517462578.7932
MEM 391.179688 1517462578.8936
MEM 391.179688 1517462578.9940
MEM 380.949219 1517462579.0944
MEM 375.144531 1517462579.1948
MEM 366.914062 1517462579.2951
MEM 391.179688 1517462579.3955
MEM 391.179688 1517462579.4959
MEM 391.179688 1517462579.5963
MEM 391.179688 1517462579.6967
MEM 378.949219 1517462579.7971
MEM 374.914062 1517462579.8974
MEM 391.179688 1517462579.9978
MEM 391.179688 1517462580.0982
MEM 391.179688 1517462580.1986
MEM 391.179688 1517462580.2989
MEM 388.949219 1517462580.3993
MEM 375.144531 1517462580.4997
MEM 375.640625 1517462580.6000
MEM 391.179688 1517462580.7004
MEM 391.179688 1517462580.8008
MEM 391.179688 1517462580.9011
MEM 380.949219 1517462581.0015
MEM 375.144531 1517462581.1019
MEM 391.179688 1517462581.2023
MEM 391.179688 1517462581.3027
MEM 391.179688 1517462581.4030
MEM 375.144531 1517462581.5034
MEM 391.144531 1517462581.6038
MEM 407.179688 1517462581.7042
MEM 407.179688 1517462581.8045
MEM 386.914062 1517462581.9049
MEM 391.144531 1517462582.0053
MEM 400.949219 1517462582.1056
MEM 407.179688 1517462582.2060
MEM 391.144531 1517462582.3064
MEM 327.179688 1517462582.4068
MEM 360.281250 1517462582.5072
MEM 375.027344 1517462582.6075
MEM 375.183594 1517462582.7079
MEM 359.148438 1517462582.8083
MEM 375.183594 1517462582.9086
MEM 375.183594 1517462583.0090
MEM 350.917969 1517462583.1094
MEM 375.183594 1517462583.2098
MEM 375.183594 1517462583.3101
MEM 343.375000 1517462583.4106
MEM 375.183594 1517462583.5109
MEM 372.953125 1517462583.6113
MEM 375.183594 1517462583.7117
MEM 375.183594 1517462583.8121
MEM 359.148438 1517462583.9124
MEM 375.183594 1517462584.0128
MEM 375.183594 1517462584.1132
MEM 352.917969 1517462584.2136
MEM 375.183594 1517462584.3139
MEM 372.953125 1517462584.4143
MEM 375.183594 1517462584.5146
MEM 375.183594 1517462584.6150
MEM 359.148438 1517462584.7154
MEM 375.183594 1517462584.8158
MEM 375.183594 1517462584.9161
MEM 359.148438 1517462585.0165
MEM 375.183594 1517462585.1169
MEM 375.183594 1517462585.2172
MEM 343.628906 1517462585.3176
MEM 375.183594 1517462585.4180
MEM 372.953125 1517462585.5184
MEM 375.183594 1517462585.6188
MEM 375.183594 1517462585.7191
MEM 359.148438 1517462585.8195
MEM 375.183594 1517462585.9199
MEM 375.183594 1517462586.0203
MEM 356.917969 1517462586.1207
MEM 375.183594 1517462586.2211
MEM 375.183594 1517462586.3214
MEM 375.183594 1517462586.4218
MEM 375.183594 1517462586.5222
MEM 368.953125 1517462586.6226
MEM 375.183594 1517462586.7230
MEM 375.183594 1517462586.8233
MEM 359.148438 1517462586.9237
MEM 375.183594 1517462587.0241
MEM 375.183594 1517462587.1244
MEM 375.183594 1517462587.2248
MEM 375.183594 1517462587.3251
MEM 362.953125 1517462587.4255
MEM 375.183594 1517462587.5259
MEM 375.183594 1517462587.6263
MEM 359.148438 1517462587.7266
MEM 375.183594 1517462587.8270
MEM 359.148438 1517462587.9274
MEM 391.218750 1517462588.0277
MEM 391.183594 1517462588.1281
MEM 376.695312 1517462588.2285
MEM 375.148438 1517462588.3288
MEM 391.183594 1517462588.4292
MEM 391.183594 1517462588.5296
MEM 391.183594 1517462588.6300
MEM 391.183594 1517462588.7304
MEM 384.953125 1517462588.8307
MEM 375.148438 1517462588.9311
MEM 374.917969 1517462589.0314
MEM 391.183594 1517462589.1318
MEM 391.183594 1517462589.2322
MEM 391.183594 1517462589.3326
MEM 391.183594 1517462589.4329
MEM 382.953125 1517462589.5333
MEM 375.148438 1517462589.6337
MEM 359.375000 1517462589.7340
MEM 391.183594 1517462589.8345
MEM 391.183594 1517462589.9348
MEM 391.183594 1517462590.0352
MEM 391.183594 1517462590.1356
MEM 375.148438 1517462590.2360
MEM 364.917969 1517462590.3363
MEM 391.183594 1517462590.4367
MEM 391.183594 1517462590.5371
MEM 391.183594 1517462590.6375
MEM 388.953125 1517462590.7378
MEM 375.148438 1517462590.8382
MEM 359.375000 1517462590.9386
MEM 391.183594 1517462591.0390
MEM 391.183594 1517462591.1393
MEM 391.183594 1517462591.2397
MEM 400.953125 1517462591.3401
MEM 407.183594 1517462591.4405
MEM 375.375000 1517462591.5409
MEM 391.148438 1517462591.6413
MEM 398.953125 1517462591.7417
MEM 407.183594 1517462591.8421
MEM 407.183594 1517462591.9425
MEM 391.148438 1517462592.0428
