CMDLINE python countless3d.py
MEM 1143.214844 1517463020.8115
MEM 1143.214844 1517463020.9119
MEM 1143.214844 1517463021.0123
MEM 1143.214844 1517463021.1126
MEM 1143.214844 1517463021.2130
MEM 1143.214844 1517463021.3134
MEM 1143.214844 1517463021.4138
MEM 1143.214844 1517463021.5142
MEM 1143.214844 1517463021.6146
MEM 1143.214844 1517463021.7150
MEM 199.371094 1517463021.8153
MEM 247.214844 1517463021.9157
MEM 279.027344 1517463022.0161
MEM 311.097656 1517463022.1165
MEM 359.203125 1517463022.2169
MEM 385.882812 1517463022.3173
MEM 438.992188 1517463022.4177
MEM 471.062500 1517463022.5181
MEM 503.132812 1517463022.6186
MEM 551.238281 1517463022.7190
MEM 605.859375 1517463022.8194
MEM 647.191406 1517463022.9197
MEM 695.039062 1517463023.0201
MEM 743.144531 1517463023.1205
MEM 775.214844 1517463023.2209
MEM 807.027344 1517463023.3213
MEM 841.871094 1517463023.4217
MEM 887.203125 1517463023.5221
MEM 926.046875 1517463023.6225
MEM 967.121094 1517463023.7229
MEM 997.929688 1517463023.8232
MEM 1031.003906 1517463023.9237
MEM 1063.074219 1517463024.0241
MEM 1095.144531 1517463024.1245
MEM 1111.179688 1517463024.2249
MEM 1142.699219 1517463024.3252
MEM 1143.214844 1517463024.4256
MEM 1143.214844 1517463024.5260
MEM 1143.214844 1517463024.6264
MEM 1143.214844 1517463024.7268
MEM 1143.214844 1517463024.8272
MEM 1143.214844 1517463024.9276
MEM 1143.214844 1517463025.0279
MEM 1143.214844 1517463025.1283
MEM 1143.214844 1517463025.2287
MEM 1143.214844 1517463025.3291
MEM 1143.214844 1517463025.4295
MEM 1143.214844 1517463025.5299
MEM 1143.214844 1517463025.6303
MEM 1143.214844 1517463025.7307
MEM 1143.214844 1517463025.8311
MEM 1143.214844 1517463025.9315
MEM 1143.214844 1517463026.0319
MEM 199.371094 1517463026.1323
MEM 247.214844 1517463026.2327
MEM 279.027344 1517463026.3330
MEM 311.097656 1517463026.4334
MEM 355.941406 1517463026.5338
MEM 381.882812 1517463026.6341
MEM 438.992188 1517463026.7345
MEM 471.062500 1517463026.8349
MEM 503.132812 1517463026.9353
MEM 545.976562 1517463027.0356
MEM 599.085938 1517463027.1360
MEM 647.191406 1517463027.2364
MEM 695.039062 1517463027.3368
MEM 739.882812 1517463027.4372
MEM 775.214844 1517463027.5376
MEM 807.027344 1517463027.6379
MEM 841.871094 1517463027.7383
MEM 887.203125 1517463027.8387
MEM 922.046875 1517463027.9391
MEM 967.121094 1517463028.0394
MEM 999.191406 1517463028.1398
MEM 1031.003906 1517463028.2402
MEM 1063.074219 1517463028.3406
MEM 1095.144531 1517463028.4410
MEM 1111.179688 1517463028.5414
MEM 1143.214844 1517463028.6418
MEM 1143.214844 1517463028.7421
MEM 1143.214844 1517463028.8425
MEM 1143.214844 1517463028.9429
MEM 1143.214844 1517463029.0433
MEM 1143.214844 1517463029.1437
MEM 1143.214844 1517463029.2441
MEM 1143.214844 1517463029.3445
MEM 1143.214844 1517463029.4449
MEM 1143.214844 1517463029.5453
MEM 1143.214844 1517463029.6457
MEM 1143.214844 1517463029.7461
MEM 1143.214844 1517463029.8465
MEM 1143.214844 1517463029.9469
MEM 1143.214844 1517463030.0473
MEM 1143.214844 1517463030.1476
MEM 1143.214844 1517463030.2480
MEM 1143.214844 1517463030.3484
MEM 1143.214844 1517463030.4488
