CMDLINE python countless3d.py
MEM 386.949219 1517462724.7786
MEM 375.144531 1517462724.8789
MEM 407.214844 1517462724.9793
MEM 407.214844 1517462725.0797
MEM 407.214844 1517462725.1801
MEM 384.949219 1517462725.2804
MEM 375.144531 1517462725.3808
MEM 407.214844 1517462725.4812
MEM 407.214844 1517462725.5816
MEM 407.214844 1517462725.6820
MEM 388.949219 1517462725.7824
MEM 375.144531 1517462725.8827
MEM 407.214844 1517462725.9831
MEM 407.214844 1517462726.0835
MEM 407.214844 1517462726.1839
MEM 378.949219 1517462726.2843
MEM 360.398438 1517462726.3847
MEM 407.214844 1517462726.4850
MEM 407.214844 1517462726.5854
MEM 396.726562 1517462726.6858
MEM 375.144531 1517462726.7862
MEM 407.214844 1517462726.8866
MEM 407.214844 1517462726.9870
MEM 407.214844 1517462727.0874
MEM 343.144531 1517462727.1878
MEM 391.250000 1517462727.2882
MEM 364.914062 1517462727.3886
MEM 375.144531 1517462727.4890
MEM 384.949219 1517462727.5894
MEM 391.179688 1517462727.6898
MEM 391.179688 1517462727.7902
MEM 391.179688 1517462727.8905
MEM 359.371094 1517462727.9909
MEM 228.652344 1517462728.0913
MEM 327.144531 1517462728.1917
MEM 364.726562 1517462728.2921
MEM 391.437500 1517462728.3925
MEM 396.761719 1517462728.4929
MEM 406.972656 1517462728.5932
MEM 362.914062 1517462728.6936
MEM 352.914062 1517462728.7940
MEM 375.144531 1517462728.8944
MEM 368.949219 1517462728.9947
MEM 398.726562 1517462729.0951
MEM 407.250000 1517462729.1955
MEM 350.914062 1517462729.2959
MEM 375.144531 1517462729.3962
MEM 362.949219 1517462729.4966
MEM 376.175781 1517462729.5970
MEM 392.503906 1517462729.6974
MEM 407.214844 1517462729.7978
MEM 364.914062 1517462729.8981
MEM 356.914062 1517462729.9985
MEM 375.144531 1517462730.0989
MEM 362.949219 1517462730.1993
MEM 375.144531 1517462730.2996
MEM 396.761719 1517462730.4000
MEM 375.371094 1517462730.5004
MEM 370.914062 1517462730.6008
MEM 359.144531 1517462730.7012
MEM 375.144531 1517462730.8016
